value,datetime
8540.319143956298,2024-10-08 03:10:00
7961.304734993279,2024-10-15 03:10:00
7571.594437557564,2024-10-22 03:10:00
9264.308795875913,2024-10-29 03:10:00
8441.708335868847,2024-11-05 03:10:00
8390.499503095474,2024-11-12 03:10:00
9181.05428799002,2024-11-19 03:10:00
7239.248489248706,2024-11-26 03:10:00
9208.409656444632,2024-12-03 03:10:00
11022.13389819212,2024-12-10 03:10:00
9708.190991260932,2024-12-17 03:10:00
8096.392919926609,2024-12-24 03:10:00
7538.384084397831,2024-12-31 03:10:00
10327.559530778979,2025-01-07 03:10:00
9152.891412520552,2025-01-14 03:10:00
12016.552752888914,2025-01-21 03:10:00
11154.637500473615,2025-01-28 03:10:00
9970.64850691481,2025-02-04 03:10:00
9730.633665053403,2025-02-11 03:10:00
10106.581163948573,2025-02-18 03:10:00
10322.58182399452,2025-02-25 03:10:00
11043.125801580316,2025-03-04 03:10:00
9542.453755818984,2025-03-11 03:10:00
9639.850635364168,2025-03-18 03:10:00
9457.659675493143,2025-03-25 03:10:00
9049.827594319568,2025-04-01 03:10:00
8368.87065853602,2025-04-08 03:10:00
7617.047358952153,2025-04-15 03:10:00
8175.9900344694215,2025-04-22 03:10:00
8230.71814549154,2025-04-29 03:10:00
7725.0088552029965,2025-05-06 03:10:00
7034.315521123933,2025-05-13 03:10:00
8218.370703749337,2025-05-20 03:10:00
7918.6502619390685,2025-05-27 03:10:00
7823.572542786253,2025-06-03 03:10:00
7579.697304417495,2025-06-10 03:10:00
6127.907962247613,2025-06-17 03:10:00
5972.591864381187,2025-06-24 03:10:00
7674.6951277713815,2025-07-01 03:10:00
7139.296880939071,2025-07-08 03:10:00
5091.955105875724,2025-07-15 03:10:00
6104.681705572844,2025-07-22 03:10:00
6013.357092605616,2025-07-29 03:10:00
6145.358300617792,2025-08-05 03:10:00
5038.731291678812,2025-08-12 03:10:00
10423.774337859073,2025-08-19 03:10:00
9645.902899599996,2025-08-26 03:10:00
9728.098230857318,2025-09-02 03:10:00
10117.113168795808,2025-09-09 03:10:00
10080.449687781744,2025-09-16 03:10:00
9444.147027811136,2025-09-23 03:10:00
7754.205556602186,2025-09-30 03:10:00
7818.514163477755,2025-10-07 03:10:00
8023.033328237863,2025-10-14 03:10:00
8024.61588891562,2025-10-21 03:10:00
9238.740162021642,2025-10-28 03:10:00
9122.460716228414,2025-11-04 03:10:00
8816.09319492036,2025-11-11 03:10:00
8473.94244508354,2025-11-18 03:10:00
6986.057145853362,2025-11-25 03:10:00
7269.715370856091,2025-12-02 03:10:00
7497.359410140987,2025-12-09 03:10:00
7169.522353851402,2025-12-16 03:10:00
7704.537191744915,2025-12-23 03:10:00
7332.44679498396,2025-12-30 03:10:00
8757.821238072778,2026-01-06 03:10:00
8114.243907290558,2026-01-13 03:10:00
11259.155952276788,2026-01-20 03:10:00
10635.601329258621,2026-01-27 03:10:00
9738.34042086722,2026-02-03 03:10:00
8779.161372306402,2026-02-10 03:10:00
9354.271965900218,2026-02-17 03:10:00
9674.340806970622,2026-02-24 03:10:00
10964.00487788134,2026-03-03 03:10:00
9025.716442969533,2026-03-10 03:10:00
9088.087775895172,2026-03-17 03:10:00
8977.618750184392,2026-03-24 03:10:00
8614.800909169066,2026-03-31 03:10:00
8047.22360829348,2026-04-07 03:10:00
7840.622582213192,2026-04-14 03:10:00
8159.060684395733,2026-04-21 03:10:00
9038.482444167379,2026-04-28 03:10:00
7819.862687300895,2026-05-05 03:10:00
7342.021377726775,2026-05-12 03:10:00
8665.985147861194,2026-05-19 03:10:00
8404.880592926258,2026-05-26 03:10:00
7970.260227599297,2026-06-02 03:10:00
7734.4464444659925,2026-06-09 03:10:00
6216.254251618724,2026-06-16 03:10:00
5957.183569193274,2026-06-23 03:10:00
6729.46295762441,2026-06-30 03:10:00
6321.381161794282,2026-07-07 03:10:00
4548.674114574584,2026-07-14 03:10:00
6835.555992015075,2026-07-21 03:10:00
6739.6397775283685,2026-07-28 03:10:00
6445.533516974844,2026-08-04 03:10:00
